ref:FR:prix-carburants,brand,name,operator,branch
30190004,Intermarché,Intermarché,,
30350002,,Carburants 7J/7,Gonzalez Jean Marc SARL,
83480006,TotalEnergies,Total,Total,
83600025,BP,BP,BP,
83440002,Total,Total Contact,,
83600013,E.Leclerc,E.Leclerc,E. Leclerc,
6210009,BP,BP Relais l’Esterel,,
13009008,TotalEnergies,TotalEnergies,,
6156001,Carrefour Market,Carrefour market,,
13008018,,Relais de Mermoz,,
13130006,Total Access,Total Access Les Chasseurs,,
13127013,Intermarché,Intermarché,,
13580002,Système U,Station U,,
13340004,Dyneff,Dyneff,,
13127009,,Station des Cadestaux,,
13880002,Intermarché,Station service,Intermarché,
29450001,La Station U,La Station U,,
31810003,kai,Total,,
34370001,Carrefour,Carrefour Market,,
34460001,Dyneff,Dyneff,Dyneff,
31290005,Esso Express,Esso Express Lauragais,Esso,
31290007,Super U,Super U,Super U,
31290011,Intermarché,Intermarché,,
31290001,Hyper U,Hyper U,,
29830003,Super U,Super U,,
29610002,Casino,Casino,,
29600004,Total,Total,Total,
69490004,Avia,Avia,,
69490002,Intermarché,Intermarché,Groupement des Mousquetaires,
29790002,Super U,Super U,,
34150001,Spar,,Spar,
34250002,Carrefour,Carrefour,Carrefour,
34250003,Total,Total Access,Total,
30190003,Casino,Casino,,
30460001,,,,
34920001,Carrefour,Carrefour,,
34120001,Total,Total,,
34120002,TotalEnergies,Total,Total,
35650002,Super U,Super U,,
50150002,Super U,Super U,,
61100007,Carrefour,Carrefour,Carrefour,
53170001,U,U La Station,U,
10130004,Intermarché,Intermarché,Groupement des Mousquetaires,
89160001,bi1,bi1,Bi1,
77390003,Carrefour Market,Carrefour Market,,
77390005,Total Access,Total Access,,
93330004,Système U,Système U,,
94170002,Esso Express,Esso Express,Esso,
94130003,Total,Total,Total,
77090001,Carrefour,Carrefour,Carrefour,
77400012,Esso,Esso,Esso,
93000011,BP,BP,,
89200003,Avia Xpress,Avia,Auchan,
89200009,Intermarché,Intermarché,,
89200006,Esso,Esso,Ets Guillemeau,
89100015,Total Access,Total Access - Relais de Sens,,
89140004,Esso,Esso,Esso,
89140001,,,,
89340004,Esso,Esso,Esso,
89340001,Total,,Total,
51100045,Total Access,Total Access,Total,
